test_id,q1_degree,q2_degree,intersection_count
15,9,19,6
401143,8,19,4
218075,9,20,6
63354,15,20,9
380777,16,20,9
20,1,3,0
328978,1,3,0
21,1,1,0
23,1,1,0
34,1,2,0
46,1,1,0
48,2,3,1
335761,2,3,1
51,1,1,0
54,1,1,0
56,1,1,0
58,7,16,5
157906,16,16,13
279487,13,16,10
1947,7,18,6
259442,16,18,12
72,41,31,23
88526,38,31,22
302153,28,31,25
37406,22,31,21
293058,27,31,23
377265,11,31,10
88316,41,24,19
397405,38,24,19
176474,49,24,20
320398,22,24,19
393640,27,24,19
106305,41,22,21
340682,24,22,21
161087,25,22,21
356168,21,22,18
259713,41,51,19
3959,38,51,19
220005,49,51,48
70613,38,51,19
289680,24,51,23
394901,50,51,48
219740,18,51,5
391285,22,51,20
370244,34,51,30
247122,51,51,48
276942,41,25,20
216840,21,25,19
306831,25,25,18
39195,27,25,18
129522,39,25,20
369155,41,20,18
332683,24,20,18
9760,28,20,18
241285,39,20,18
73,5,21,3
205135,22,21,18
107079,23,21,18
111363,21,21,20
114421,23,21,18
135327,21,21,17
395619,16,21,15
389293,5,19,1
78,1,3,0
151518,3,3,0
81,1,1,0
88,12,18,11
288006,12,18,10
189062,8,18,7
312592,1,18,0
353119,14,18,11
94,2,1,0
100,13,15,12
30079,15,15,14
109753,16,15,13
264017,13,14,11
280475,14,14,13
129127,15,14,13
150996,13,14,12
107,1,3,0
113,4,5,3
121,1,7,0
289143,1,7,0
128,1,1,0
132,1,1,0
134,1,1,0
139,1,1,0
142,1,1,0
143,4,2,1
148,1,1,0
151,4,1,0
156,4,5,3
109124,4,4,3
163,1,2,0
164,3,1,0
167,4,1,0
16119,4,5,0
244284,1,5,0
361615,4,2,0
179,1,1,0
185,20,20,19
108470,20,20,19
323260,20,20,19
36632,20,20,19
128537,20,20,19
85793,20,20,19
100557,20,20,19
361901,20,20,19
32354,20,20,19
353285,20,20,19
227303,20,20,19
296630,20,20,19
341431,31,20,19
193,2,2,1
195,1,1,0
196,1,1,0
201,1,1,0
202,6,1,0
64487,6,2,1
366539,6,3,2
204,1,1,0
206,2,1,0
210,2,2,1
213,1,1,0
214,1,1,0
218,1,1,0
221,4,1,0
232,3,9,1
55248,1,9,0
233,3,1,0
235,1,4,0
169829,3,4,2
237,1,1,0
240,1,1,0
244,25,16,14
240535,23,16,12
403273,11,16,9
399880,25,24,17
53701,11,24,8
220310,22,24,16
365427,23,24,19
248,1,2,0
250,16,13,9
203830,16,13,12
225847,15,13,12
