id,q1_degree,q2_degree,intersection_count
0,1,1,0
1,4,2,0
184732,4,1,0
263614,4,1,0
359232,4,1,0
2,1,1,0
3,1,1,0
4,3,1,0
126071,3,2,0
62855,1,2,0
351364,3,1,0
5,1,1,0
6,1,1,0
7,1,1,0
8,2,2,1
402369,3,2,1
9,1,1,0
10,1,1,0
11,1,1,0
12,1,2,0
65735,1,2,0
13,2,2,1
27051,2,2,1
327315,2,2,1
14,6,4,1
185471,2,4,0
272517,2,4,1
401723,2,4,0
25235,6,2,1
80628,6,3,0
168828,2,3,0
96207,6,1,0
286805,6,1,0
16,1,1,0
17,1,3,0
205796,1,3,0
402023,3,3,0
18,15,41,10
117123,22,41,15
151617,30,41,20
19484,27,41,19
134697,31,41,21
325412,43,41,31
38007,21,41,14
323453,28,41,19
353219,35,41,24
132385,16,41,7
192789,13,41,9
42173,16,41,8
283265,23,41,14
128727,36,41,26
176978,36,41,26
380133,44,41,33
345571,42,41,28
22076,22,41,16
250140,25,41,14
238258,19,41,12
25791,7,41,4
334457,24,41,17
224727,34,41,21
147609,37,41,24
371338,34,41,26
206665,26,41,14
111299,39,41,29
65769,12,41,6
200632,18,41,8
330053,29,41,18
94119,40,41,26
39948,31,41,23
185939,33,41,21
119009,37,41,29
273804,24,41,16
129403,23,41,17
217116,8,41,3
68335,20,41,13
77871,28,41,17
383367,12,41,6
44606,15,33,12
248598,22,33,13
195300,27,33,15
143269,43,33,24
189393,28,33,20
186647,36,33,21
201012,15,33,3
78932,32,33,18
125435,19,33,7
87104,44,33,22
190323,30,33,15
352402,44,33,23
84101,42,33,25
272160,22,33,16
184973,25,33,14
154630,43,33,21
121178,39,33,19
79273,29,33,17
350042,7,33,1
284169,40,33,20
122738,37,33,23
390125,24,33,18
265146,23,33,14
141007,28,33,17
55342,15,37,12
181639,22,37,19
33850,37,37,25
105278,27,37,19
25611,31,37,25
380446,43,37,30
300759,21,37,14
140663,28,37,22
34384,35,37,24
120058,13,37,12
68362,32,37,23
357596,44,37,29
20461,34,37,25
362548,19,37,16
313948,34,37,22
215652,34,37,27
123774,29,37,21
51413,24,37,20
161332,23,37,19
72615,15,43,7
132897,27,43,19
11361,31,43,24
77714,43,43,27
10111,1,43,0
41299,36,43,26
16731,30,43,22
305998,44,43,24
311997,34,43,21
33192,29,43,20
59125,1,43,0
64953,8,43,3
85308,2,43,0
92382,1,43,0
138958,1,43,0
166866,1,43,0
243958,3,43,0
322239,1,43,0
368410,1,43,0
117759,15,44,12
50434,22,44,18
22878,37,44,28
83530,30,44,25
268966,27,44,21
317736,31,44,24
286947,43,44,35
6452,21,44,15
161286,35,44,26
54668,16,44,9
339537,23,44,19
91015,36,44,27
314765,32,44,25
81698,44,44,34
281603,30,44,23
75377,44,44,34
248012,42,44,32
54549,34,44,27
261002,22,44,17
164274,25,44,19
23351,19,44,15
219288,43,44,29
262642,7,44,5
166418,24,44,18
343392,34,44,27
172965,39,44,30
33847,18,44,10
55009,29,44,23
156592,33,44,24
114781,37,44,30
255502,24,44,19
248370,23,44,18
97893,8,44,4
123718,28,44,20
170402,15,43,13
255896,27,43,19
83970,31,43,24
123859,35,43,24
226721,6,43,2
71048,36,43,26
294191,19,43,7
56397,44,43,33
239071,34,43,23
378958,29,43,22
177313,15,44,11
401543,37,44,27
324880,27,44,22
371285,31,44,23
12919,43,44,34
113324,21,44,16
42378,28,44,22
9418,35,44,25
166555,13,44,9
90346,16,44,12
317602,6,44,4
43594,36,44,26
194021,30,44,21
287913,44,44,34
147061,19,44,14
118894,43,44,27
167611,7,44,5
26109,24,44,18
117156,34,44,24
200484,34,44,25
98031,39,44,32
360535,12,44,9
337192,37,44,30
190712,24,44,18
63837,23,44,19
187089,8,44,4
204047,15,22,10
217135,22,22,14
88592,43,22,18
386362,28,22,14
8995,13,22,11
137547,44,22,15
64213,44,22,17
264279,9,22,3
112505,42,22,17
112386,34,22,14
61366,34,22,15
234537,39,22,15
123263,37,22,19
210802,24,22,14
94551,28,22,11
205024,15,36,9
190606,37,36,21
50616,27,36,17
393152,31,36,21
121369,43,36,29
262963,28,36,21
268478,35,36,26
272832,13,36,9
337876,36,36,24
91235,44,36,28
240849,30,36,18
398744,44,36,26
64193,42,36,28
147293,34,36,21
274636,25,36,16
362827,19,36,12
294890,24,36,19
403089,34,36,20
241628,37,36,23
147835,34,36,22
194540,39,36,24
49824,18,36,9
102649,29,36,20
361943,44,36,29
180266,33,36,21
239004,37,36,27
204836,23,36,18
386957,28,36,17
249046,1,36,0
218188,15,42,11
233503,37,42,27
333344,27,42,21
307422,31,42,25
296060,43,42,31
220615,7,42,2
344789,28,42,24
237872,35,42,26
171107,13,42,10
263354,23,42,20
56061,36,42,30
108693,32,42,27
157027,30,42,22
91746,44,42,29
126586,34,42,29
83897,19,42,15
273727,43,42,27
180817,24,42,19
192571,34,42,27
29670,12,42,7
179331,29,42,25
384607,37,42,31
329320,24,42,20
210339,23,42,17
274352,15,32,7
250864,22,32,12
372265,27,32,16
38280,31,32,20
281337,7,32,3
393603,35,32,22
11234,36,32,22
71271,7,32,4
198110,30,32,19
338601,44,32,23
362361,34,32,23
234251,43,32,24
162906,34,32,21
215588,29,32,22
283529,15,13,9
240862,22,13,9
388765,43,13,12
64183,44,13,11
389921,34,13,8
303876,15,44,13
2491,27,44,22
275100,35,44,25
10387,6,44,2
381105,36,44,26
366540,7,44,4
79470,34,44,20
328472,15,22,10
279795,43,22,18
379462,44,22,17
176025,8,22,2
373935,15,16,6
137809,22,16,5
132527,43,16,11
90967,9,16,5
367128,15,16,5
273336,19,16,5
143427,44,16,8
75932,44,16,9
19,2,1,0
22,4,7,1
173146,9,7,0
203226,1,7,0
274509,5,7,1
167496,4,5,1
29806,2,5,0
129927,1,5,0
324863,4,5,0
225109,4,4,0
105556,2,4,0
129018,2,4,0
185664,1,4,0
259097,4,2,0
304183,2,2,0
24,3,6,0
121029,1,6,0
308265,1,6,0
283968,3,1,0
385458,3,1,0
25,5,2,0
181349,1,2,0
58273,5,1,0
191668,5,2,0
284702,1,2,0
26,3,1,0
199987,3,1,0
27,1,1,0
28,38,1,0
35148,38,1,0
83419,38,34,24
10786,18,34,9
6714,36,34,26
20343,39,34,27
118439,33,34,25
313857,42,34,23
177615,31,34,18
149081,32,34,24
398919,38,34,23
333276,33,34,26
59224,41,34,27
14168,32,34,23
296999,29,34,16
72279,30,34,18
227086,11,34,8
117226,34,34,27
387732,31,34,23
301511,33,34,18
401659,33,34,25
63899,39,34,30
53427,38,34,24
91102,71,34,22
317191,29,34,20
381138,33,34,25
300884,31,34,23
94424,38,39,22
378060,18,39,15
205115,20,39,15
365272,23,39,14
190509,36,39,21
116769,35,39,20
364668,33,39,22
212905,42,39,30
205807,38,39,20
82653,45,39,34
315423,31,39,23
329205,34,39,22
323173,32,39,20
383718,21,39,15
333158,38,39,29
241750,41,39,33
295283,24,39,18
87301,16,39,12
276367,36,39,23
329229,20,39,15
108358,34,39,19
180831,31,39,23
152640,24,39,19
48539,24,39,15
277965,33,39,21
111912,38,39,29
252154,36,39,19
46935,34,39,20
303191,71,39,19
392337,21,39,12
295376,35,39,29
166316,38,39,30
244566,31,39,19
167096,38,36,28
14776,26,36,18
95172,36,36,27
53765,39,36,29
276738,42,36,23
201297,31,36,20
397132,32,36,25
397272,29,36,20
187074,41,36,24
129547,32,36,25
327979,24,36,13
224384,29,36,19
62683,30,36,21
93757,27,36,19
262072,31,36,22
369555,33,36,13
306158,33,36,26
237192,39,36,28
163225,38,36,20
231845,71,36,25
97000,29,36,19
139792,35,36,19
321335,33,36,24
262545,38,36,22
321547,31,36,24
316069,8,36,4
168311,38,11,7
94337,23,11,2
192745,36,11,4
363680,42,11,8
263696,29,11,5
16091,24,11,7
121950,29,11,4
152689,31,11,6
44231,36,11,9
55803,25,11,5
220333,35,11,7
170215,38,36,30
304751,26,36,17
246131,26,36,17
383649,39,36,32
277055,35,36,26
226865,33,36,29
328161,42,36,25
125170,38,36,26
335936,31,36,20
345495,34,36,25
167757,32,36,26
138595,29,36,20
236466,38,36,21
366724,33,36,28
18993,41,36,27
219609,29,36,19
55919,30,36,21
137762,27,36,19
296176,34,36,28
360709,31,36,25
200546,33,36,17
108739,24,36,12
130519,33,36,29
85206,39,36,29
175060,36,36,27
142197,35,36,20
173053,33,36,26
335127,38,36,24
192630,31,36,26
156213,26,36,18
191163,38,38,25
309942,18,38,11
148284,20,38,10
134177,36,38,24
266436,39,38,25
219942,33,38,23
199776,42,38,30
98033,38,38,21
130270,31,38,26
179980,34,38,25
369877,32,38,22
318814,33,38,22
249513,41,38,34
337562,32,38,19
103506,22,38,11
353210,24,38,16
18441,24,38,15
144551,16,38,12
311245,34,38,21
30071,31,38,27
241865,24,38,18
113867,24,38,12
196411,33,38,22
167853,39,38,26
83627,38,38,31
248878,71,38,20
246528,35,38,27
284454,33,38,20
244192,31,38,22
221618,38,26,16
288530,26,26,21
81623,23,26,5
3430,36,26,18
331699,39,26,19
266354,35,26,14
348938,33,26,17
290220,38,26,16
24275,32,26,19
60213,29,26,18
280344,33,26,18
255068,32,26,14
366576,22,26,6
278026,29,26,18
88801,30,26,23
65921,27,26,21
128311,34,26,17
146106,24,26,7
345518,33,26,16
366033,36,26,16
265901,29,26,18
338488,21,26,8
117137,31,26,16
222956,38,31,27
32239,26,31,15
63629,36,31,25
204440,39,31,27
27932,33,31,24
86683,42,31,19
274335,32,31,24
388710,33,31,24
390553,29,31,17
161500,30,31,19
378852,27,31,17
188385,34,31,26
252232,33,31,15
333863,24,31,12
194315,33,31,23
39290,39,31,24
197980,38,31,18
231912,29,31,20
373559,35,31,16
233062,38,34,22
98882,18,34,7
115755,26,34,15
89240,36,34,25
336749,39,34,27
60630,35,34,24
281170,42,34,22
222469,31,34,18
102836,32,34,22
293597,29,34,16
324962,33,34,21
86278,41,34,25
65243,32,34,22
50369,24,34,8
170092,30,34,20
234735,11,34,7
23717,36,34,23
24622,39,34,21
61420,31,34,21
99706,33,34,22
333107,39,34,29
324956,38,34,20
44385,36,34,27
184411,34,34,24
107546,25,34,19
188938,71,34,23
354115,29,34,18
257554,35,34,18
166304,33,34,24
128531,38,34,24
196878,31,34,20
172382,35,34,23
242729,38,45,28
138966,18,45,15
279824,20,45,16
104838,23,45,16
129221,36,45,27
3938,39,45,30
108395,35,45,27
207879,33,45,29
328610,42,45,36
5299,38,45,26
193553,31,45,28
358990,34,45,29
99099,32,45,23
10374,21,45,16
116655,29,45,19
165422,38,45,35
182401,33,45,26
14734,41,45,38
68411,32,45,24
353413,22,45,16
182180,24,45,20
170785,24,45,19
230548,36,45,28
27794,20,45,16
207680,34,45,26
84438,31,45,28
110270,33,45,29
250521,24,45,22
199945,24,45,16
340996,33,45,26
170610,39,45,30
278649,38,45,34
367828,36,45,26
183327,34,45,25
217043,71,45,25
62140,29,45,22
145828,35,45,32
282261,33,45,24
326041,38,45,35
297489,31,45,23
249080,38,35,27
2219,26,35,15
167901,26,35,14
231173,39,35,26
125468,35,35,23
330761,33,35,23
397236,42,35,24
110840,45,35,24
139034,34,35,24
187217,32,35,25
292701,33,35,25
389570,41,35,24
306386,32,35,23
176151,24,35,10
29715,29,35,20
191181,30,35,20
74386,27,35,18
343110,36,35,26
282410,39,35,18
370048,31,35,22
396366,33,35,24
38837,39,35,27
121671,38,35,19
170302,36,35,28
393379,34,35,26
208805,25,35,19
61253,71,35,22
254633,29,35,21
65809,33,35,25
212567,38,35,22
119293,26,35,16
249465,38,25,18
287474,39,25,20
259371,35,25,19
106319,33,25,18
326043,42,25,21
231454,38,25,17
6218,45,25,22
345367,31,25,16
173604,29,25,15
44644,38,25,18
327661,33,25,17
102477,41,25,22
146333,32,25,17
115531,36,25,21
166390,39,25,17
36483,33,25,19
171735,39,25,21
344875,36,25,19
62619,34,25,19
168920,71,25,15
173152,35,25,16
278274,33,25,18
355201,38,26,14
193269,23,26,3
83545,36,26,16
4060,35,26,13
17942,38,26,12
378121,34,26,15
7277,32,26,17
262961,21,26,3
231304,29,26,15
45667,33,26,17
334013,32,26,14
192367,29,26,17
111188,27,26,17
107309,34,26,15
75293,33,26,15
142663,39,26,19
375015,36,26,14
383554,21,26,6
170724,33,26,15
166928,31,26,13
361588,38,31,25
318631,36,31,25
237857,39,31,25
393212,33,31,23
46983,42,31,25
336581,38,31,20
385547,31,31,20
44508,38,31,23
392077,33,31,21
352111,41,31,28
342364,32,31,19
362445,24,31,12
157143,34,31,21
344790,24,31,13
372585,33,31,24
103610,39,31,25
161588,71,31,20
129877,35,31,22
172851,33,31,21
157075,31,31,20
29,9,8,5
350942,14,8,7
24946,7,8,5
262073,10,8,6
178943,7,8,5
107019,7,8,5
111242,9,8,6
77303,9,7,5
38883,7,7,4
221020,14,7,6
124568,9,11,8
1896,7,11,6
13251,14,11,9
11207,8,11,7
44379,6,11,5
376913,7,11,6
306592,5,11,4
83275,10,11,9
145536,7,11,6
176894,7,11,6
247513,9,11,8
179514,9,6,4
342370,14,6,4
34950,5,6,4
192720,9,5,3
203539,9,9,6
10967,14,9,7
12171,6,9,5
159505,5,9,4
35527,10,9,7
58958,7,9,5
109152,7,9,4
214196,9,14,7
93449,7,14,6
193545,7,14,6
164207,1,14,0
203812,2,14,0
212463,1,14,0
397147,1,14,0
266914,9,7,4
144266,7,7,5
30,1,1,0
31,2,2,0
190296,1,2,0
125730,2,1,0
32,1,1,0
33,1,1,0
35,1,1,0
36,2,4,0
72285,1,4,0
37,1,2,0
38,7,5,3
30258,7,7,4
12692,1,7,0
76827,5,7,2
172422,5,7,2
400613,4,7,0
289065,6,7,2
346941,7,7,4
46464,7,5,3
320886,7,5,3
390039,6,5,2
200691,7,5,1
147923,5,5,1
174133,4,5,1
327076,7,6,3
87765,7,6,3
206482,2,6,0
399824,6,6,2
331873,7,6,4
392115,7,7,5
171359,7,7,4
139007,5,7,2
132433,5,7,4
224495,6,7,3
39,1,2,0
40,4,2,0
261219,1,2,0
264,4,1,0
124620,4,1,0
267767,4,1,0
41,1,1,0
42,2,3,0
120932,1,3,0
123690,1,3,0
168436,2,3,0
9289,4,3,1
257267,2,3,1
43,3,1,0
30405,3,2,0
230965,3,1,0
44,1,5,0
23010,3,5,0
116269,1,5,0
160177,1,5,0
45,3,1,0
204381,3,1,0
367446,3,4,0
60393,7,4,0
132554,6,4,0
47,1,4,0
73338,2,4,0
362181,5,4,0
49,4,2,1
177901,3,2,1
60200,4,3,1
211225,4,1,0
348551,4,2,0
335051,7,2,0
50,1,1,0
52,1,1,0
53,2,4,0
326,1,4,0
130156,3,4,1
153717,5,4,1
55,1,1,0
57,1,5,0
134223,5,5,2
228626,4,5,2
109942,2,5,0
293354,4,5,2
59,3,1,0
