id,q1_degree,q2_degree,intersection_count
0,1,1,0
1,4,2,0
184732,4,1,0
263614,4,1,0
359232,4,1,0
2,1,1,0
3,1,1,0
4,3,1,0
126071,3,2,0
62855,1,2,0
351364,3,1,0
5,1,1,0
6,1,1,0
7,1,1,0
8,2,3,1
402369,3,3,2
9,1,1,0
10,1,1,0
11,1,1,0
12,2,2,1
65735,2,2,1
13,2,2,1
27051,2,2,1
327315,2,2,1
14,6,5,2
185471,2,5,0
272517,2,5,1
401723,2,5,0
25235,6,2,1
80628,6,4,0
168828,2,4,0
96207,6,1,0
286805,6,1,0
16,1,1,0
17,1,3,0
205796,1,3,0
402023,3,3,0
18,18,54,17
117123,26,54,25
151617,33,54,32
19484,32,54,30
134697,34,54,32
325412,52,54,50
38007,27,54,25
323453,32,54,31
353219,45,54,41
132385,18,54,11
192789,15,54,14
42173,18,54,14
283265,27,54,26
128727,45,54,41
176978,45,54,43
380133,53,54,52
345571,51,54,45
22076,29,54,27
250140,33,54,25
238258,30,54,29
25791,8,54,7
334457,30,54,27
224727,38,54,33
147609,47,54,42
371338,40,54,38
206665,31,54,26
111299,45,54,43
65769,17,54,15
200632,20,54,12
330053,35,54,32
94119,44,54,39
39948,38,54,37
185939,42,54,34
119009,41,54,40
273804,30,54,29
129403,34,54,33
217116,12,54,10
68335,27,54,26
77871,34,54,30
383367,14,54,10
44606,18,42,14
248598,26,42,19
195300,32,42,23
143269,52,42,34
189393,32,42,27
186647,45,42,32
201012,20,42,10
78932,44,42,34
125435,27,42,16
87104,53,42,34
190323,41,42,28
352402,55,42,34
84101,51,42,36
272160,29,42,22
184973,33,42,19
154630,55,42,31
121178,45,42,31
79273,35,42,26
350042,8,42,3
284169,44,42,31
122738,41,42,32
390125,30,42,24
265146,34,42,27
141007,34,42,26
55342,18,41,15
181639,26,41,23
33850,47,41,38
105278,32,41,26
25611,34,41,30
380446,52,41,40
300759,27,41,22
140663,32,41,30
34384,45,41,35
120058,15,41,14
68362,44,41,36
357596,55,41,40
20461,45,41,39
362548,30,41,29
313948,38,41,29
215652,40,41,35
123774,35,41,29
51413,30,41,29
161332,34,41,31
72615,18,55,15
132897,32,55,27
11361,34,55,33
77714,52,55,42
10111,1,55,0
41299,45,55,38
16731,41,55,36
305998,55,55,42
311997,38,55,33
33192,35,55,32
59125,1,55,0
64953,12,55,8
85308,2,55,0
92382,1,55,0
138958,1,55,0
166866,1,55,0
243958,4,55,0
322239,1,55,0
368410,1,55,0
117759,18,51,17
50434,26,51,25
22878,47,51,41
83530,33,51,32
268966,32,51,28
317736,34,51,32
286947,52,51,50
6452,27,51,24
161286,45,51,39
54668,18,51,11
339537,27,51,26
91015,45,51,39
314765,44,51,39
81698,53,51,50
281603,41,51,38
75377,55,51,50
248012,51,51,43
54549,45,51,42
261002,29,51,27
164274,33,51,25
23351,30,51,29
219288,55,51,42
262642,8,51,7
166418,30,51,27
343392,40,51,38
172965,45,51,41
33847,20,51,12
55009,35,51,31
156592,42,51,33
114781,41,51,40
255502,30,51,29
248370,34,51,33
97893,12,51,9
123718,34,51,30
170402,18,52,17
255896,32,52,28
83970,34,52,32
123859,45,52,40
226721,8,52,6
71048,45,52,40
294191,27,52,15
56397,55,52,50
239071,38,52,32
378958,35,52,31
177313,18,53,17
401543,47,53,43
324880,32,53,30
371285,34,53,32
12919,52,53,50
113324,27,53,25
42378,32,53,31
9418,45,53,41
166555,15,53,14
90346,18,53,14
317602,8,53,6
43594,45,53,41
194021,41,53,38
287913,55,53,52
147061,30,53,29
118894,55,53,42
167611,8,53,7
26109,30,53,27
117156,38,53,33
200484,40,53,38
98031,45,53,43
360535,17,53,15
337192,41,53,40
190712,30,53,29
63837,34,53,33
187089,12,53,9
204047,18,29,14
217135,26,29,22
88592,52,29,27
386362,32,29,21
8995,15,29,13
137547,53,29,27
64213,55,29,27
264279,12,29,6
112505,51,29,28
112386,45,29,27
61366,40,29,23
234537,45,29,24
123263,41,29,26
210802,30,29,21
94551,34,29,20
205024,18,45,15
190606,47,45,37
50616,32,45,26
393152,34,45,29
121369,52,45,43
262963,32,45,30
268478,45,45,35
272832,15,45,14
337876,45,45,35
91235,53,45,43
240849,41,45,33
398744,55,45,43
64193,51,45,39
147293,45,45,38
274636,33,45,23
362827,30,45,28
294890,30,45,26
403089,38,45,29
241628,47,45,36
147835,40,45,35
194540,45,45,36
49824,20,45,11
102649,35,45,29
361943,51,45,43
180266,42,45,32
239004,41,45,38
204836,34,45,32
386957,34,45,29
249046,1,45,0
218188,18,51,15
233503,47,51,45
333344,32,51,30
307422,34,51,33
296060,52,51,44
220615,8,51,5
344789,32,51,31
237872,45,51,41
171107,15,51,14
263354,27,51,25
56061,45,51,44
108693,44,51,41
157027,41,51,38
91746,55,51,45
126586,45,51,43
83897,30,51,29
273727,55,51,42
180817,30,51,27
192571,40,51,38
29670,17,51,15
179331,35,51,33
384607,41,51,40
329320,30,51,29
210339,34,51,32
274352,18,44,14
250864,26,44,21
372265,32,44,26
38280,34,44,29
281337,8,44,5
393603,45,44,39
11234,45,44,37
71271,8,44,5
198110,41,44,36
338601,55,44,39
362361,45,44,39
234251,55,44,38
162906,38,44,33
215588,35,44,32
283529,18,15,11
240862,26,15,14
388765,52,15,14
64183,55,15,14
389921,45,15,13
303876,18,55,17
2491,32,55,30
275100,45,55,41
10387,8,55,6
381105,45,55,41
366540,8,55,7
79470,38,55,33
328472,18,26,17
279795,52,26,25
379462,55,26,25
176025,12,26,7
373935,18,18,7
137809,26,18,7
132527,52,18,12
90967,10,18,7
367128,20,18,8
273336,27,18,9
143427,53,18,11
75932,55,18,11
19,2,1,0
22,4,7,1
173146,10,7,0
203226,1,7,0
274509,7,7,1
167496,4,7,1
29806,2,7,1
129927,1,7,0
324863,4,7,0
225109,4,4,0
105556,2,4,0
129018,2,4,0
185664,1,4,0
259097,4,2,0
304183,2,2,0
24,3,6,0
121029,1,6,0
308265,1,6,0
283968,3,2,0
385458,3,1,0
25,6,2,0
181349,1,2,0
58273,6,3,0
191668,6,2,0
284702,1,2,0
26,4,1,0
199987,4,2,0
27,1,1,0
28,46,1,0
35148,46,1,0
83419,46,43,39
10786,22,43,15
6714,43,43,40
20343,43,43,40
118439,41,43,39
313857,50,43,35
177615,42,43,32
149081,42,43,40
398919,47,43,33
333276,39,43,38
59224,46,43,33
14168,41,43,40
296999,36,43,28
72279,35,43,27
227086,12,43,11
117226,41,43,40
387732,36,43,31
301511,47,43,33
401659,41,43,39
63899,45,43,42
53427,46,43,33
91102,88,43,37
317191,36,43,31
381138,42,43,40
300884,40,43,38
94424,46,48,34
378060,22,48,21
205115,26,48,23
365272,30,48,22
190509,43,48,33
116769,45,48,34
364668,41,48,33
212905,50,48,44
205807,47,48,34
82653,49,48,44
315423,42,48,40
329205,43,48,34
323173,42,48,33
383718,29,48,21
333158,47,48,46
241750,46,48,45
295283,31,48,27
87301,21,48,20
276367,41,48,33
329229,26,48,23
108358,41,48,32
180831,36,48,33
152640,30,48,27
48539,29,48,21
277965,41,48,33
111912,46,48,45
252154,44,48,34
46935,42,48,32
303191,88,48,31
392337,25,48,19
295376,45,48,44
166316,46,48,45
244566,40,48,32
167096,46,44,41
14776,34,44,27
95172,43,44,41
53765,43,44,40
276738,50,44,35
201297,42,44,31
397132,42,44,39
397272,40,44,33
187074,46,44,32
129547,41,44,39
327979,32,44,18
224384,36,44,30
62683,35,44,28
93757,33,44,27
262072,36,44,33
369555,47,44,32
306158,41,44,39
237192,45,44,40
163225,46,44,32
231845,88,44,37
97000,36,44,30
139792,45,44,32
321335,42,44,39
262545,46,44,32
321547,40,44,38
316069,10,44,6
168311,46,12,10
94337,30,12,5
192745,43,12,10
363680,50,12,10
263696,40,12,10
16091,32,12,11
121950,36,12,7
152689,36,12,8
44231,44,12,10
55803,36,12,9
220333,44,12,10
170215,46,41,40
304751,34,41,27
246131,37,41,27
383649,43,41,40
277055,45,41,39
226865,41,41,40
328161,50,41,34
125170,47,41,39
335936,42,41,30
345495,43,41,39
167757,42,41,39
138595,40,41,31
236466,47,41,32
366724,39,41,38
18993,46,41,32
219609,36,41,28
55919,35,41,27
137762,33,41,27
296176,41,41,39
360709,36,41,32
200546,47,41,32
108739,30,41,17
130519,41,41,40
85206,45,41,39
175060,44,41,39
142197,45,41,32
173053,42,41,39
335127,46,41,32
192630,40,41,39
156213,34,41,27
191163,46,46,33
309942,22,46,21
148284,26,46,22
134177,43,46,32
266436,43,46,32
219942,41,46,32
199776,50,46,44
98033,47,46,33
130270,42,46,40
179980,43,46,33
369877,42,46,32
318814,39,46,30
249513,46,46,45
337562,41,46,31
103506,28,46,21
353210,32,46,28
18441,31,46,27
144551,21,46,20
311245,41,46,31
30071,36,46,33
241865,30,46,27
113867,29,46,21
196411,41,46,32
167853,45,46,33
83627,46,46,45
248878,88,46,30
246528,45,46,44
284454,42,46,31
244192,40,46,31
221618,46,34,27
288530,34,34,33
81623,30,34,11
3430,43,34,27
331699,43,34,27
266354,45,34,27
348938,41,34,27
290220,47,34,27
24275,42,34,28
60213,40,34,33
280344,39,34,26
255068,41,34,27
366576,28,34,10
278026,36,34,30
88801,35,34,33
65921,33,34,32
128311,41,34,27
146106,29,34,10
345518,41,34,27
366033,44,34,27
265901,36,34,27
338488,25,34,11
117137,40,34,27
222956,46,40,39
32239,34,40,27
63629,43,40,38
204440,43,40,39
27932,41,40,39
86683,50,40,33
274335,42,40,38
388710,39,40,37
390553,36,40,28
161500,35,40,27
378852,33,40,27
188385,41,40,38
252232,47,40,31
333863,30,40,17
194315,41,40,39
39290,45,40,38
197980,46,40,31
231912,36,40,31
373559,45,40,31
233062,46,45,39
98882,22,45,15
115755,34,45,27
89240,43,45,40
336749,43,45,41
60630,45,45,42
281170,50,45,35
222469,42,45,32
102836,42,45,40
293597,40,45,31
324962,39,45,38
86278,46,45,33
65243,41,45,40
50369,31,45,16
170092,35,45,28
234735,12,45,11
23717,41,45,39
24622,48,45,34
61420,36,45,31
99706,41,45,39
333107,45,45,44
324956,46,45,33
44385,44,45,40
184411,42,45,40
107546,36,45,33
188938,88,45,38
354115,36,45,31
257554,45,45,33
166304,42,45,41
128531,46,45,33
196878,40,45,38
172382,44,45,39
242729,46,49,36
138966,22,49,20
279824,26,49,22
104838,30,49,22
129221,43,49,35
3938,43,49,34
108395,45,49,35
207879,41,49,34
328610,50,49,47
5299,47,49,35
193553,42,49,40
358990,43,49,35
99099,42,49,33
10374,29,49,22
116655,40,49,32
165422,47,49,44
182401,39,49,32
14734,46,49,44
68411,41,49,33
353413,28,49,21
182180,32,49,29
170785,31,49,27
230548,41,49,34
27794,26,49,22
207680,41,49,33
84438,36,49,34
110270,47,49,44
250521,30,49,28
199945,29,49,21
340996,41,49,34
170610,45,49,35
278649,46,49,44
367828,44,49,35
183327,42,49,33
217043,88,49,32
62140,36,49,28
145828,45,49,44
282261,42,49,33
326041,46,49,44
297489,40,49,33
249080,46,44,41
2219,34,44,27
167901,37,44,27
231173,43,44,39
125468,45,44,39
330761,41,44,39
397236,50,44,35
110840,49,44,35
139034,43,44,39
187217,42,44,39
292701,39,44,38
389570,46,44,32
306386,41,44,39
176151,32,44,18
29715,36,44,30
191181,35,44,27
74386,33,44,27
343110,41,44,39
282410,48,44,33
370048,36,44,33
396366,41,44,39
38837,45,44,39
121671,46,44,32
170302,44,44,41
393379,42,44,39
208805,36,44,35
61253,88,44,37
254633,36,44,30
65809,42,44,39
212567,46,44,32
119293,34,44,27
249465,46,36,35
287474,43,36,33
259371,45,36,33
106319,41,36,33
326043,50,36,35
231454,47,36,33
6218,49,36,35
345367,42,36,31
173604,40,36,27
44644,47,36,32
327661,39,36,32
102477,46,36,32
146333,41,36,33
115531,41,36,33
166390,48,36,32
36483,41,36,33
171735,45,36,33
344875,44,36,35
62619,42,36,33
168920,88,36,31
173152,45,36,32
278274,42,36,33
355201,46,37,27
193269,30,37,11
83545,43,37,27
4060,45,37,27
17942,47,37,27
378121,43,37,27
7277,42,37,28
262961,29,37,10
231304,40,37,33
45667,39,37,26
334013,41,37,27
192367,36,37,30
111188,33,37,32
107309,41,37,27
75293,41,37,27
142663,45,37,28
375015,44,37,29
383554,25,37,11
170724,42,37,27
166928,40,37,27
361588,46,36,34
318631,43,36,33
237857,43,36,32
393212,41,36,32
46983,50,36,34
336581,47,36,31
385547,42,36,30
44508,47,36,33
392077,39,36,30
352111,46,36,33
342364,41,36,31
362445,32,36,17
157143,41,36,31
344790,30,36,18
372585,41,36,32
103610,45,36,31
161588,88,36,30
129877,45,36,33
172851,42,36,31
157075,40,36,31
29,11,9,8
350942,20,9,8
24946,8,9,7
262073,11,9,8
178943,7,9,6
107019,8,9,7
111242,11,9,8
77303,11,7,6
38883,10,7,6
221020,20,7,6
124568,11,11,10
1896,10,11,9
13251,20,11,10
11207,9,11,8
44379,6,11,5
376913,8,11,7
306592,7,11,6
83275,11,11,10
145536,7,11,6
176894,8,11,7
247513,11,11,10
179514,11,6,5
342370,20,6,5
34950,7,6,5
192720,11,7,6
203539,11,11,10
10967,20,11,10
12171,6,11,5
159505,7,11,6
35527,11,11,10
58958,7,11,6
109152,8,11,7
214196,11,20,10
93449,10,20,9
193545,8,20,7
164207,1,20,0
203812,3,20,0
212463,1,20,0
397147,1,20,0
266914,11,10,9
144266,8,10,7
30,1,1,0
31,2,3,1
190296,1,3,0
125730,2,2,1
32,1,1,0
33,1,1,0
35,1,1,0
36,2,4,0
72285,1,4,0
37,1,2,0
38,7,9,5
30258,7,7,4
12692,1,7,0
76827,9,7,4
172422,8,7,4
400613,4,7,0
289065,8,7,4
346941,8,7,4
46464,7,8,5
320886,7,8,4
390039,6,8,3
200691,7,5,1
147923,9,5,3
174133,6,5,3
327076,7,8,5
87765,7,8,4
206482,4,8,2
399824,6,8,3
331873,8,8,7
392115,7,8,5
171359,7,8,4
139007,9,8,4
132433,8,8,7
224495,6,8,3
39,1,2,0
40,4,2,0
261219,1,2,0
264,4,1,0
124620,4,1,0
267767,4,1,0
41,1,1,0
42,2,3,0
120932,1,3,0
123690,1,3,0
168436,2,3,0
9289,5,3,1
257267,3,3,1
43,3,1,0
30405,3,2,0
230965,3,1,0
44,1,7,0
23010,3,7,0
116269,1,7,0
160177,1,7,0
45,3,1,0
204381,3,1,0
367446,3,4,0
60393,9,4,0
132554,7,4,0
47,1,5,0
73338,2,5,0
362181,6,5,0
49,4,2,1
177901,3,2,1
60200,4,3,1
211225,4,1,0
348551,4,2,0
335051,7,2,0
50,1,1,0
52,1,1,0
53,2,4,0
326,1,4,0
130156,3,4,1
153717,5,4,1
55,1,1,0
57,1,6,0
134223,5,6,3
228626,4,6,3
109942,2,6,0
293354,4,6,2
59,4,1,0
